From;To;Value
EBR-S;WBR;50
Livingston;WBR;3
I-10 NOLA;WBR;3
I-12;WBR;4
WBR;EBR-M;8
Iberville;EBR-M;4
EBR-S;EBR-M;4
Point Coupe;EBR-S;7
Iberville;EBR-S;17
WBR;Ascension;4
I-10 Lafayette;Ascension;5
I-10 Lafayette;Livingston;4
EBR-S;I-10 Lafayette;30
I-10 NOLA;I-10 Lafayette;8
I-12;I-10 Lafayette;14
US-190 Opelousas;EBR-S;5
WBR;EBR-S;50
WBR;Livingston;3
WBR;I-10 NOLA;3
WBR;I-12;4
EBR-M;WBR;8
EBR-M;Iberville;4
EBR-M;EBR-S;4
EBR-S;Point Coupe;7
EBR-S;Iberville;17
Ascension;WBR;4
Ascension;I-10 Lafayette;5
Livingston;I-10 Lafayette;4
I-10 Lafayette;EBR-S;30
I-10 Lafayette;I-10 NOLA;8
I-10 Lafayette;I-12;14
US-190 Opelousas;EBR-S;5
